variant,shot_idx,score,fouled,cushion_hits,duration,cumulative_score,chosen_robustness,theta,power,spin_a,spin_b
true_baseline,0,1,False,2,4.737437845141761,1,0.75,1.3994762897491455,0.48183733224868774,-0.17070770263671875,0.2719379663467407
true_baseline,1,1,False,0,2.5987631903650623,2,1.0,5.569087505340576,0.5359127521514893,0.9432166814804077,-0.6974753737449646
true_baseline,2,1,False,0,4.872593753307943,3,1.0,1.8988385200500488,0.9053065776824951,-0.7820652723312378,-0.9554445743560791
true_baseline,3,1,False,1,4.416253672179728,4,0.25,4.992481708526611,0.9773718118667603,0.5153706073760986,-0.5496954321861267
true_baseline,4,1,False,0,4.378240815393564,5,0.75,1.5525774955749512,0.899765133857727,0.3692302703857422,-0.9749354124069214
true_baseline,5,1,False,2,5.097812696196463,6,0.75,2.9027421474456787,0.9840484857559204,-0.6147722005844116,-0.8544740080833435
true_baseline,6,1,False,0,2.3798347508374746,7,0.75,5.716447353363037,0.8665885925292969,0.7826725244522095,-0.8292604684829712
true_baseline,7,1,False,0,2.5195449316061325,8,1.0,3.2484500408172607,0.3792095482349396,-0.5608552098274231,-0.8498290777206421
true_baseline,8,1,False,1,3.9991707189277763,9,0.75,4.69551420211792,0.9749011397361755,0.8621160984039307,-0.8487348556518555
true_baseline,9,1,False,2,4.328543156304577,10,0.5,1.3888593912124634,0.9696983098983765,-0.47625988721847534,-0.9601483345031738
baseline_robust,0,1,False,2,4.294306641243998,1,0.75,0.48372602462768555,0.52298903465271,0.3971841335296631,-0.18397045135498047
baseline_robust,1,1,False,0,3.3094432274703802,2,1.0,0.9124287366867065,0.5310723185539246,-0.8741253614425659,-0.8615739345550537
baseline_robust,2,1,False,1,4.617962261603527,3,0.25,1.12990140914917,0.9637629389762878,-0.08506232500076294,-0.6321932673454285
baseline_robust,3,1,False,0,3.94859054149804,4,1.0,4.326874732971191,0.8756827712059021,-0.5966604351997375,-0.9388088583946228
baseline_robust,4,1,False,1,5.087516583644029,5,1.0,3.874568462371826,0.9452467560768127,0.45726799964904785,-0.645077109336853
baseline_robust,5,1,False,0,2.5542230932223635,6,0.75,6.247109889984131,0.1858210563659668,-0.8168641924858093,0.7847858667373657
baseline_robust,6,1,False,0,3.660581202995711,7,1.0,1.5899821519851685,0.4927920997142792,-0.7707917094230652,-0.9614476561546326
baseline_robust,7,1,False,2,4.300237763884642,8,0.75,4.3969268798828125,0.9054484367370605,0.14686357975006104,-0.9112493991851807
baseline_robust,8,1,False,3,5.595468306911119,9,0.75,4.99454927444458,0.9958417415618896,-0.6574696898460388,0.1026841402053833
baseline_robust,9,1,False,0,4.582304198077913,10,1.0,4.939919948577881,0.9858102798461914,-0.8317965865135193,-0.8661476373672485
