timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3854,-0.2698,0.9500,0.0600,1.0014,1.6007
8192,0.0000,0.2149,0.1504,1.8800,0.1100,0.9838,1.6105
12288,0.0100,0.6882,0.4848,2.2100,0.0500,0.9755,1.6207
16384,0.0400,1.5294,1.0826,3.3800,0.1900,0.9823,1.6962
20480,0.0100,1.8426,1.2928,3.7500,0.1500,1.0084,1.8068
24576,0.0100,2.2576,1.5833,4.3500,0.1000,1.0196,1.9664
28672,0.0300,2.1309,1.5007,4.3000,0.1400,1.0007,2.1175
32768,0.0200,2.3590,1.6573,4.5000,0.0700,0.9639,2.2833
36864,0.0000,2.4190,1.6933,4.6200,0.0900,0.9719,2.4316
40960,0.0100,2.4546,1.7212,4.5900,0.0800,0.9636,2.5926
45056,0.0100,2.6729,1.8740,4.8000,0.0700,0.9450,2.7164
49152,0.0000,2.6254,1.8378,4.9000,0.0600,0.9343,2.7674
53248,0.0000,2.6412,1.8489,4.8500,0.1100,0.9067,2.9140
