timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0100,-0.2478,-0.0673,1.2200,0.0300,1.0255,1.5852
8192,0.0000,0.1395,0.0419,1.6000,0.1300,1.0149,1.6049
12288,0.0100,0.8162,0.2519,2.4100,0.1500,0.9952,1.6089
16384,0.0100,1.4951,0.4555,3.3300,0.1600,0.9882,1.6804
20480,0.0000,1.6821,0.5046,3.7700,0.1600,0.9784,1.7762
24576,0.0100,2.1641,0.6562,4.2600,0.1100,1.0106,1.9250
28672,0.0100,2.3329,0.7069,4.5800,0.1100,0.9906,2.0995
32768,0.0000,2.3563,0.7069,4.5600,0.0700,0.9936,2.2604
36864,0.0100,2.4414,0.7394,4.7000,0.0900,0.9757,2.4135
40960,0.0200,2.5293,0.7728,4.5800,0.0900,0.9506,2.5667
45056,0.0200,2.5836,0.7891,4.9000,0.1300,0.9612,2.6834
49152,0.0100,2.5361,0.7678,4.9300,0.1000,0.9561,2.8523
53248,0.0100,2.5492,0.7717,4.6800,0.0600,0.9138,2.9473
