timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3854,-0.1156,0.9500,0.0600,1.0014,1.6007
8192,0.0000,0.2160,0.0648,1.8700,0.1200,0.9838,1.6101
12288,0.0100,0.7172,0.2222,2.3100,0.0500,0.9749,1.6198
16384,0.0300,1.5380,0.4824,3.3400,0.2000,0.9802,1.6941
20480,0.0000,1.8403,0.5521,3.7200,0.1400,1.0065,1.8000
24576,0.0100,2.2535,0.6830,4.3200,0.1000,1.0185,1.9550
28672,0.0100,2.1221,0.6436,4.1200,0.1700,1.0031,2.1003
32768,0.0300,2.3515,0.7265,4.4900,0.0700,0.9669,2.2611
36864,0.0000,2.4061,0.7218,4.5200,0.0900,0.9755,2.4017
40960,0.0000,2.4398,0.7320,4.5800,0.1100,0.9700,2.5637
45056,0.0200,2.6659,0.8138,4.7700,0.0500,0.9521,2.6915
49152,0.0000,2.6185,0.7856,4.8800,0.0600,0.9415,2.7424
53248,0.0100,2.6343,0.7973,4.8700,0.1100,0.9158,2.8999
