timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3854,-0.3469,0.9500,0.0600,1.0014,1.6007
8192,0.0100,0.2136,0.1932,1.8900,0.1000,0.9838,1.6107
12288,0.0100,0.6695,0.6035,2.2200,0.0500,0.9758,1.6228
16384,0.0100,1.5053,1.3557,3.2800,0.1800,0.9813,1.6918
20480,0.0000,1.8163,1.6347,3.6500,0.1500,1.0077,1.7888
24576,0.0200,2.2393,2.0174,4.3900,0.1100,1.0196,1.9419
28672,0.0000,2.1056,1.8950,4.3500,0.1400,1.0002,2.0912
32768,0.0100,2.3393,2.1063,4.3300,0.0800,0.9630,2.2418
36864,0.0000,2.3915,2.1524,4.5700,0.1000,0.9701,2.3642
40960,0.0100,2.4305,2.1885,4.5200,0.0900,0.9612,2.5081
45056,0.0200,2.6576,2.3938,4.8400,0.0400,0.9429,2.6195
49152,0.0000,2.6153,2.3538,4.8600,0.0600,0.9323,2.6808
53248,0.0000,2.6316,2.3684,4.8100,0.1400,0.9045,2.8330
