timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3854,-0.3854,0.9500,0.0600,1.0014,1.6007
8192,0.0100,0.2129,0.2129,1.9100,0.1000,0.9838,1.6107
12288,0.0000,0.6575,0.6575,2.1900,0.0500,0.9757,1.6236
16384,0.0200,1.4801,1.4801,3.1900,0.1700,0.9812,1.6869
20480,0.0100,1.7884,1.7884,3.8100,0.1400,1.0077,1.7819
24576,0.0200,2.2281,2.2281,4.3600,0.0900,1.0203,1.9331
28672,0.0300,2.0892,2.0892,4.3000,0.1700,1.0009,2.0792
32768,0.0200,2.3299,2.3299,4.3000,0.0700,0.9641,2.2305
36864,0.0000,2.3841,2.3841,4.5400,0.1100,0.9713,2.3524
40960,0.0100,2.4262,2.4262,4.4700,0.1000,0.9626,2.4928
45056,0.0100,2.6547,2.6547,4.8300,0.0500,0.9442,2.6054
49152,0.0000,2.6142,2.6142,4.7900,0.0700,0.9333,2.6718
53248,0.0000,2.6300,2.6300,4.8600,0.1300,0.9053,2.8213
