timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0100,-0.2478,-0.2220,1.2200,0.0300,1.0255,1.5852
8192,0.0000,0.1365,0.1228,1.5600,0.1400,1.0146,1.6053
12288,0.0100,0.7994,0.7205,2.4000,0.1400,0.9940,1.6103
16384,0.0000,1.4979,1.3481,3.2700,0.1800,0.9866,1.6905
20480,0.0000,1.7050,1.5345,3.8300,0.1600,0.9792,1.8052
24576,0.0300,2.1806,1.9656,4.1500,0.1500,1.0115,1.9563
28672,0.0100,2.3445,2.1111,4.4800,0.1100,0.9884,2.1339
32768,0.0200,2.3569,2.1232,4.3600,0.1300,0.9891,2.2801
36864,0.0000,2.4416,2.1974,4.6500,0.1100,0.9692,2.4243
40960,0.0000,2.5245,2.2720,4.5900,0.0800,0.9421,2.5666
45056,0.0100,2.5847,2.3273,4.7700,0.0600,0.9513,2.6809
49152,0.0100,2.5331,2.2808,4.7800,0.0900,0.9454,2.8335
53248,0.0100,2.5477,2.2939,4.6000,0.0500,0.9038,2.9278
