timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
312,0.0,nan,1.57,0.15,0,nan,0.0,0.0
624,0.0,nan,1.83,0.17,0,nan,0.0,0.0
936,0.01,nan,1.92,0.11,0,nan,0.0,0.0
1248,0.0,nan,1.52,0.19,0,nan,0.0,0.0
1560,0.0,nan,1.75,0.13,0,nan,0.0,0.0
1872,0.02,nan,1.44,0.22,0,nan,0.0,0.0
2184,0.01,nan,2.05,0.13,0,nan,0.0,0.0
2496,0.01,nan,1.91,0.19,0,nan,0.0,0.0
2808,0.01,nan,1.6,0.15,0,nan,0.0,0.0
3120,0.0,nan,1.73,0.18,0,nan,0.0,0.0
3432,0.01,nan,1.4,0.15,0,nan,0.0,0.0
3744,0.0,nan,1.68,0.13,0,nan,0.0,0.0
4056,0.01,nan,1.7,0.16,0,nan,0.0,0.0
4368,0.01,nan,1.9,0.11,0,nan,0.0,0.0
4680,0.0,nan,1.76,0.13,0,nan,0.0,0.0
4992,0.01,nan,2.25,0.15,0,nan,0.0,0.0
5304,0.01,nan,1.86,0.2,0,nan,0.0,0.0
5616,0.0,nan,1.88,0.14,0,nan,0.0,0.0
5928,0.0,nan,1.77,0.15,0,nan,0.0,0.0
6240,0.0,nan,1.64,0.09,0,nan,0.0,0.0
6552,0.02,nan,1.88,0.17,0,nan,0.0,0.0
6864,0.0,nan,1.99,0.12,0,nan,0.0,0.0
7176,0.01,nan,2.08,0.19,0,nan,0.0,0.0
7488,0.0,nan,1.99,0.19,0,nan,0.0,0.0
7800,0.01,nan,2.05,0.17,0,nan,0.0,0.0
8112,0.0,nan,2.19,0.14,0,nan,0.0,0.0
8424,0.01,nan,1.86,0.13,0,nan,0.0,0.0
8736,0.01,nan,2.22,0.1,0,nan,0.0,0.0
9048,0.0,nan,2.01,0.14,0,nan,0.0,0.0
9360,0.02,nan,2.07,0.15,0,nan,0.0,0.0
9672,0.0,nan,2.11,0.15,0,nan,0.0,0.0
9984,0.0,nan,1.42,0.17,0,nan,0.0,0.0
10296,0.02,nan,2.01,0.07,0,nan,0.0,0.0
10608,0.0,nan,1.7,0.22,0,nan,0.0,0.0
10920,0.01,nan,1.84,0.16,0,nan,0.0,0.0
11232,0.0,nan,1.83,0.15,0,nan,0.0,0.0
11544,0.0,nan,1.88,0.15,0,nan,0.0,0.0
11856,0.0,nan,2.24,0.24,0,nan,0.0,0.0
12168,0.0,nan,2.04,0.12,0,nan,0.0,0.0
12480,0.0,nan,2.01,0.21,0,nan,0.0,0.0
12792,0.0,nan,1.99,0.18,0,nan,0.0,0.0
13104,0.0,nan,2.28,0.15,0,nan,0.0,0.0
13416,0.01,nan,2.19,0.13,0,nan,0.0,0.0
13728,0.0,nan,2.07,0.22,0,nan,0.0,0.0
14040,0.01,nan,2.65,0.21,0,nan,0.0,0.0
14352,0.0,nan,2.23,0.14,0,nan,0.0,0.0
14664,0.01,nan,2.75,0.2,0,nan,0.0,0.0
14976,0.0,nan,2.36,0.16,0,nan,0.0,0.0
15288,0.01,nan,2.84,0.22,0,nan,0.0,0.0
15600,0.0,nan,2.85,0.2,0,nan,0.0,0.0
15912,0.0,nan,2.97,0.19,0,nan,0.0,0.0
16224,0.02,nan,2.64,0.17,0,nan,0.0,0.0
16536,0.01,nan,2.92,0.14,0,nan,0.0,0.0
16848,0.01,nan,2.92,0.22,0,nan,0.0,0.0
17160,0.01,nan,3.56,0.25,0,nan,0.0,0.0
17472,0.02,nan,4.09,0.26,0,nan,0.0,0.0
17784,0.02,nan,4.06,0.28,0,nan,0.0,0.0
18096,0.02,nan,4.27,0.41,0,nan,0.0,0.0
18408,0.04,nan,4.76,0.35,0,nan,0.0,0.0
18720,0.02,nan,4.23,0.42,0,nan,0.0,0.0
19032,0.1,nan,4.5,0.35,0,nan,0.0,0.0
19344,0.03,nan,5.31,0.2,0,nan,0.0,0.0
19656,0.06,nan,5.52,0.14,0,nan,0.0,0.0
19968,0.07,nan,5.2,0.21,0,nan,0.0,0.0
20280,0.11,nan,5.26,0.15,0,nan,0.0,0.0
