timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
312,0.01,-0.003325915518216789,1.57,0.15,0,nan,0.0,0.0
624,0.0,-0.0025294510554522277,1.94,0.15,0,nan,0.0,0.0
936,0.01,-0.0028008349519222974,1.91,0.15,0,nan,0.0,0.0
1248,0.0,-0.001376636615023017,1.49,0.2,0,nan,0.0,0.0
1560,0.0,-0.002540535689331591,1.55,0.14,0,nan,0.0,0.0
1872,0.0,-0.001774040451273322,1.31,0.22,0,nan,0.0,0.0
2184,0.0,-0.0036578519688919187,2.01,0.15,0,nan,0.0,0.0
2496,0.0,-0.002069100574590266,1.79,0.18,0,nan,0.0,0.0
2808,0.01,-0.003319244678132236,1.54,0.14,0,nan,0.0,0.0
3120,0.0,-0.003896810719743371,1.62,0.16,0,nan,0.0,0.0
3432,0.0,-0.0029612448951229454,1.54,0.15,0,nan,0.0,0.0
3744,0.0,-0.003167513720691204,1.73,0.14,0,nan,0.0,0.0
4056,0.0,-0.0024596666172146796,1.7,0.18,0,nan,0.0,0.0
4368,0.01,-0.003978693927638233,1.79,0.11,0,nan,0.0,0.0
4680,0.0,-0.0034174163173884154,1.81,0.14,0,nan,0.0,0.0
4992,0.0,-0.0030737060168758035,2.1,0.21,0,nan,0.0,0.0
5304,0.0,-0.09659742329735309,1.95,0.13,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
5616,0.0,-0.09195138107403182,2.02,0.17,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
5928,0.0,-0.0921551168570295,2.03,0.12,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
6240,0.02,-0.10079611827852204,1.9,0.14,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
6552,0.02,-0.0913158574909903,2.15,0.18,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
6864,0.03,-0.09312703729839995,2.03,0.11,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
7176,0.0,-0.09296785020269453,2.12,0.14,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
7488,0.01,-0.08780666016507893,1.74,0.13,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
7800,0.0,-0.08247314017266034,1.99,0.1,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
8112,0.02,-0.09034913369920104,1.86,0.21,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
8424,0.01,-0.06759581646881997,2.14,0.11,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
8736,0.01,-0.0724674990796484,2.15,0.14,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
9048,0.0,-0.06860250849509612,2.24,0.17,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
9360,0.01,-0.0717681543668732,2.28,0.17,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
9672,0.02,-0.0775004522514064,2.35,0.2,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
9984,0.02,-0.0646893482701853,2.4,0.11,50,0.6798470616340637,0.0394955612719059,0.0277634859085083
10296,0.02,-0.06713635914027691,2.37,0.15,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
10608,0.0,-0.05869992585852742,2.81,0.11,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
10920,0.02,-0.05946069864556194,2.66,0.12,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
11232,0.01,-0.061731796029489486,2.8,0.12,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
11544,0.0,-0.051261541643179954,2.82,0.14,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
11856,0.01,-0.048366896300576626,2.63,0.13,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
12168,0.01,-0.05033385938033461,2.66,0.17,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
12480,0.01,-0.0400048654677812,2.53,0.16,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
12792,0.02,-0.0293208033638075,2.98,0.08,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
13104,0.0,-0.036977974167093634,2.8,0.11,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
13416,0.0,-0.010972489404957741,2.85,0.09,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
13728,0.04,-0.012073899719398469,3.17,0.12,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
14040,0.01,-0.007586780686397105,3.34,0.08,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
14352,0.02,-0.007019158494658768,3.3,0.08,100,0.6820672750473022,0.05067026615142822,0.04710271954536438
