timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0100,-0.2478,0.0100,1.2200,0.0300,1.0255,1.5852
8192,0.0000,-0.2400,0.0000,1.2000,0.1100,1.0113,1.5934
12288,0.0000,0.1261,0.0000,1.5300,0.1400,0.9797,1.5675
16384,0.0200,0.4095,0.0200,1.8600,0.0700,0.9718,1.5867
20480,0.0000,0.6392,0.0000,2.3400,0.1100,0.9663,1.5800
24576,0.0100,1.0345,0.0100,2.7100,0.0400,0.9988,1.5822
28672,0.0100,1.4655,0.0100,3.5100,0.1500,0.9825,1.5855
32768,0.0100,1.4107,0.0100,3.4700,0.1400,0.9920,1.6162
36864,0.0100,1.4087,0.0100,3.3500,0.1400,0.9857,1.6114
40960,0.0100,1.5898,0.0100,3.4300,0.0700,0.9719,1.6330
45056,0.0200,1.7079,0.0200,3.9500,0.1900,0.9887,1.6555
49152,0.0000,1.7382,0.0000,3.9000,0.2000,0.9901,1.6950
53248,0.0100,1.6476,0.0100,3.3900,0.0700,0.9535,1.7228
