timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0100,-0.2478,-0.1189,1.2200,0.0300,1.0255,1.5852
8192,0.0000,0.1385,0.0692,1.5800,0.1400,1.0149,1.6048
12288,0.0100,0.8119,0.4110,2.4400,0.1500,0.9949,1.6091
16384,0.0000,1.4926,0.7463,3.3400,0.1700,0.9879,1.6821
20480,0.0000,1.6835,0.8418,3.8300,0.1600,0.9787,1.7795
24576,0.0100,2.1705,1.0902,4.2300,0.1200,1.0107,1.9330
28672,0.0100,2.3400,1.1750,4.5400,0.1200,0.9881,2.1134
32768,0.0100,2.3646,1.1873,4.6200,0.0800,0.9906,2.2799
36864,0.0300,2.4506,1.2403,4.7000,0.1100,0.9723,2.4371
40960,0.0500,2.5345,1.2923,4.5600,0.0700,0.9464,2.5864
45056,0.0000,2.5901,1.2951,4.8200,0.0900,0.9566,2.7040
49152,0.0100,2.5400,1.2750,4.8200,0.0700,0.9521,2.8650
53248,0.0000,2.5549,1.2775,4.7000,0.0600,0.9109,2.9779
