time_s,score_mean,score_std
0.0,0.0,0.0
0.502092050209205,0.0,0.0
1.00418410041841,0.0,0.0
1.506276150627615,0.0,0.0
2.00836820083682,0.0,0.0
2.510460251046025,0.06666666666666667,0.2494438257849295
3.01255230125523,0.1,0.3
3.514644351464435,0.1,0.3
4.01673640167364,0.16666666666666666,0.3726779962499649
4.518828451882845,0.2,0.4
5.02092050209205,0.2,0.4
5.523012552301255,0.23333333333333334,0.49553562491061665
6.02510460251046,0.3,0.5259911279353167
6.527196652719665,0.3333333333333333,0.5374838498865698
7.02928870292887,0.36666666666666664,0.6046119049072349
7.531380753138075,0.36666666666666664,0.6046119049072349
8.03347280334728,0.4666666666666667,0.618241233033047
8.535564853556485,0.4666666666666667,0.618241233033047
9.03765690376569,0.4666666666666667,0.618241233033047
9.539748953974895,0.5666666666666667,0.6674994798166929
10.0418410041841,0.6333333333333333,0.7520342781785652
10.543933054393305,0.7333333333333333,0.7272474743090478
11.04602510460251,0.7666666666666667,0.7156970184527961
11.548117154811715,0.7666666666666667,0.7156970184527961
12.05020920502092,0.8333333333333334,0.687184270936277
12.552301255230125,0.9333333333333333,0.7272474743090478
13.05439330543933,1.1,0.7895146188218007
13.556485355648535,1.1333333333333333,0.805536398239638
14.05857740585774,1.2333333333333334,0.8439325934114775
14.560669456066945,1.3,0.8999999999999997
15.06276150627615,1.3333333333333333,0.8692269873603529
15.564853556485355,1.4,0.8406346808612326
16.06694560669456,1.4,0.8406346808612326
16.569037656903767,1.4666666666666666,0.8459051693633015
17.07112970711297,1.5666666666666667,0.8825468196582487
17.573221757322173,1.6666666666666667,0.9428090415820632
18.07531380753138,1.7333333333333334,0.9637888196533974
18.577405857740587,1.8,0.9451631252505217
19.07949790794979,1.8333333333333333,1.002773930432755
19.581589958158993,1.8666666666666667,1.024152766382481
20.0836820083682,1.9333333333333333,1.0306416555826874
20.585774058577407,1.9666666666666666,1.015983376941878
21.08786610878661,1.9666666666666666,1.015983376941878
21.589958158995813,2.033333333333333,0.9826268648655784
22.09205020920502,2.066666666666667,1.0306416555826872
22.594142259414227,2.066666666666667,1.0306416555826872
23.09623430962343,2.1,1.0754843869934452
23.598326359832633,2.1333333333333333,1.0873004286866728
24.10041841004184,2.2,1.1372481406154653
