timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3854,-0.1927,0.9500,0.0600,1.0014,1.6007
8192,0.0000,0.2155,0.1078,1.9000,0.1200,0.9839,1.6103
12288,0.0000,0.7055,0.3528,2.2800,0.0500,0.9753,1.6203
16384,0.0300,1.5330,0.7815,3.3300,0.1900,0.9814,1.6933
20480,0.0100,1.8407,0.9254,3.7600,0.1400,1.0073,1.8013
24576,0.0300,2.2568,1.1434,4.3200,0.1000,1.0196,1.9613
28672,0.0100,2.1292,1.0696,4.3800,0.1500,1.0017,2.1104
32768,0.0100,2.3570,1.1835,4.4600,0.0600,0.9650,2.2734
36864,0.0100,2.4179,1.2140,4.6400,0.0900,0.9735,2.4268
40960,0.0000,2.4527,1.2264,4.6600,0.0800,0.9657,2.5930
45056,0.0100,2.6732,1.3416,4.8300,0.0400,0.9470,2.7192
49152,0.0100,2.6251,1.3176,4.8700,0.0600,0.9367,2.7716
53248,0.0100,2.6412,1.3256,4.8600,0.1000,0.9096,2.9241
