variant,shot_idx,score,fouled,cushion_hits,duration,cumulative_score,chosen_robustness,theta,power,spin_a,spin_b
true_baseline,0,1,False,2,4.124767624772357,1,0.375,0.7499729990959167,0.5620129108428955,-0.3591160774230957,-0.02377939224243164
true_baseline,1,1,False,0,3.8356122037652733,2,1.0,1.9223461151123047,0.4792172312736511,-0.18270033597946167,-0.9106281399726868
true_baseline,2,1,False,2,5.855090837702692,3,0.875,3.5030696392059326,0.9378150701522827,-0.28129148483276367,-0.9689435958862305
true_baseline,3,1,False,0,4.417251210668308,4,0.75,3.58544659614563,0.867876410484314,-0.04499518871307373,-0.9409214854240417
true_baseline,4,1,False,1,5.460717315983209,5,1.0,2.812997341156006,0.9352993965148926,0.5010919570922852,-0.7716341018676758
true_baseline,5,1,False,2,3.3071390792773263,6,0.375,1.5360181331634521,0.8463749289512634,-0.9094955325126648,-0.8970698118209839
true_baseline,6,1,False,1,1.544538187227403,7,1.0,6.109933853149414,0.3573128879070282,0.9073877334594727,-0.3095945119857788
true_baseline,7,1,False,0,1.8293329424911098,8,0.375,1.5770659446716309,0.3412635326385498,-0.8477346301078796,-0.9099510312080383
true_baseline,8,1,False,0,3.4475076519362213,9,1.0,4.697370529174805,0.7037181854248047,0.9952069520950317,-0.898982584476471
true_baseline,9,1,False,1,3.5052843798922444,10,0.375,1.0127671957015991,0.8865312933921814,-0.8764529228210449,-0.935976505279541
true_baseline,10,1,False,1,2.5211757692343633,11,1.0,3.913320779800415,0.4395582675933838,-0.40570926666259766,-0.9589168429374695
true_baseline,11,1,False,1,4.933070080493726,12,0.875,1.261123776435852,0.8718504905700684,-0.7970516681671143,-0.9556155204772949
true_baseline,12,1,False,5,5.683703806974415,13,0.125,0.22713589668273926,0.9176361560821533,-0.15955102443695068,0.1585789918899536
true_baseline,13,1,False,0,4.901902735691175,14,0.375,1.9057633876800537,0.8741951584815979,0.996779203414917,-0.9581095576286316
true_baseline,14,1,False,3,5.199220093870895,15,0.875,4.484845161437988,0.9325697422027588,-0.09011691808700562,-0.6544656157493591
true_baseline,15,1,False,1,4.525631576617253,16,0.375,1.4926167726516724,0.974899172782898,-0.9080352187156677,-0.9560785889625549
true_baseline,16,1,False,1,4.769221803895393,17,0.75,1.9839667081832886,0.6410958170890808,-0.12327176332473755,0.9638547897338867
true_baseline,17,1,False,0,2.6181184115214435,18,0.875,5.5325236320495605,0.43984225392341614,0.814328670501709,-0.5388188362121582
true_baseline,18,1,False,0,3.4402772696325075,19,1.0,2.2417144775390625,0.7071092128753662,0.6115102767944336,-0.9437023401260376
true_baseline,19,1,False,0,1.6645049028007504,20,0.875,0.21972046792507172,0.13443157076835632,-0.21613264083862305,-0.22872567176818848
true_baseline,20,1,False,0,3.4778604140707943,21,1.0,5.283815383911133,0.6558928489685059,0.6503329277038574,-0.827913224697113
true_baseline,21,1,False,1,4.573328204607925,22,1.0,2.4163100719451904,0.9787784814834595,-0.17020392417907715,-0.9791426062583923
true_baseline,22,1,False,0,5.109213377684574,23,1.0,3.1312811374664307,0.8438543081283569,-0.37194645404815674,-0.6397603154182434
true_baseline,23,1,False,0,2.6176543572905797,24,0.75,1.0959547758102417,0.5696322917938232,-0.8667795062065125,-0.8952591419219971
true_baseline,24,1,False,0,2.8090962178408057,25,0.875,3.937401533126831,0.5225763320922852,-0.9411874413490295,-0.9188015460968018
true_baseline,25,1,False,0,4.025728199457605,26,1.0,2.460538864135742,0.7053952217102051,-0.9780476689338684,-0.9780387282371521
true_baseline,26,1,False,2,5.2720030134795985,27,1.0,2.7434535026550293,0.9811168909072876,0.43507981300354004,-0.8436287641525269
true_baseline,27,1,False,1,3.8651646557791617,28,0.375,5.907901763916016,0.9719820022583008,0.8261164426803589,-0.741525411605835
true_baseline,28,1,False,2,5.352950637486862,29,0.75,4.086404323577881,0.9843565225601196,-0.13535141944885254,-0.9032438397407532
true_baseline,29,1,False,0,2.977429767200436,30,0.875,2.619546413421631,0.4964176118373871,-0.5738919973373413,-0.9448003768920898
true_baseline,30,1,False,2,4.98810352841801,31,0.625,2.000897169113159,0.968426525592804,-0.13861393928527832,-0.9266230463981628
true_baseline,31,1,False,1,3.752053397792964,32,0.875,0.8489117622375488,0.9519535303115845,-0.918947160243988,-0.671186625957489
true_baseline,32,1,False,3,4.791573714728128,33,0.25,1.7979161739349365,0.9689870476722717,0.8305120468139648,-0.9264904856681824
true_baseline,33,1,False,2,4.679216835343023,34,0.5,3.000946044921875,0.9695727825164795,-0.1892576813697815,0.88764488697052
true_baseline,34,1,False,0,3.396338451803418,35,1.0,4.997490882873535,0.6700271964073181,0.9793006181716919,-0.9650419354438782
true_baseline,35,1,False,1,4.614280315799566,36,1.0,3.349458694458008,0.9028069376945496,0.45684897899627686,-0.8697752952575684
true_baseline,36,1,False,1,5.357860497345705,37,0.75,4.003337860107422,0.965561032295227,-0.3793361783027649,-0.7365272641181946
true_baseline,37,1,False,1,3.971390492329773,38,1.0,3.6733391284942627,0.806118905544281,0.8263058662414551,-0.9773315787315369
true_baseline,38,1,False,2,3.4445564976504826,39,0.875,5.658550262451172,0.3737316131591797,-0.7566269040107727,0.7939653396606445
true_baseline,39,1,False,2,4.348204576919231,40,1.0,1.6771454811096191,0.7867012023925781,-0.568223237991333,0.8529025316238403
true_baseline,40,1,False,4,5.057906592493918,41,1.0,4.875112533569336,0.971192479133606,0.13507866859436035,-0.092135488986969
true_baseline,41,1,False,0,4.14637774900536,42,1.0,3.729968786239624,0.7024855613708496,0.8862905502319336,-0.980912983417511
true_baseline,42,1,False,3,5.216712283497599,43,0.5,0.9252838492393494,0.9144420623779297,0.41174864768981934,-0.07378482818603516
true_baseline,43,1,False,0,3.3534775630732874,44,1.0,2.990368366241455,0.5013216733932495,-0.9423232078552246,-0.8887104392051697
true_baseline,44,1,False,2,5.265012672310036,45,0.625,4.159463405609131,0.9385745525360107,-0.2887638807296753,-0.8090454936027527
true_baseline,45,1,False,0,1.9565549720291424,46,0.75,0.8554598093032837,0.1472277045249939,0.23949980735778809,0.8563823699951172
true_baseline,46,1,False,0,3.009156128633316,47,0.75,1.7177600860595703,0.45961275696754456,0.4099355936050415,-0.9038167595863342
true_baseline,47,1,False,1,4.300649260607338,48,0.875,5.659452438354492,0.9262740015983582,-0.7612354755401611,-0.18277263641357422
true_baseline,48,1,False,0,2.65421738647584,49,0.875,5.937366962432861,0.2539222240447998,0.8109526634216309,0.17271530628204346
true_baseline,49,1,False,0,3.5489822653617438,50,0.875,1.6587295532226562,0.7542471885681152,-0.9677161574363708,-0.9474276304244995
baseline_robust,0,1,False,2,5.1091994647537575,1,1.0,1.5255705118179321,0.5150971412658691,-0.15744483470916748,0.35112905502319336
baseline_robust,1,1,False,0,3.4130358362824524,2,1.0,5.5016913414001465,0.8590189218521118,0.6907556056976318,-0.8902673721313477
baseline_robust,2,1,False,0,3.9168929809014834,3,0.75,4.4475483894348145,0.9568494558334351,-0.6600127220153809,-0.8770521283149719
baseline_robust,3,1,False,1,4.945281518205436,4,1.0,2.8540239334106445,0.9660719633102417,-0.5777506232261658,-0.9002269506454468
baseline_robust,4,1,False,1,4.216977622850543,5,0.75,1.7848305702209473,0.8880707621574402,-0.8678945302963257,-0.9740007519721985
baseline_robust,5,1,False,1,2.670757271313241,6,1.0,6.222282409667969,0.2674763798713684,0.9058237075805664,0.9335422515869141
baseline_robust,6,1,False,0,3.101078927116837,7,1.0,4.5717010498046875,0.5429670214653015,-0.6251444816589355,-0.9568918943405151
baseline_robust,7,1,False,1,3.131414638650845,8,1.0,4.246047019958496,0.5787137746810913,0.8884561061859131,-0.9731293320655823
