timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3161,-0.1581,1.1800,0.1000,1.0038,1.6008
8192,0.0000,0.3633,0.1816,1.8600,0.0700,1.0154,1.6001
12288,0.0000,0.8196,0.4098,2.4400,0.1000,1.0096,1.5944
16384,0.0200,1.7348,0.8774,3.6800,0.1100,1.0018,1.6674
20480,0.0100,1.7935,0.9018,3.6700,0.2000,0.9744,1.7851
24576,0.0000,1.8389,0.9194,3.8800,0.1200,0.9898,1.9437
28672,0.0100,2.2381,1.1241,4.0800,0.1100,0.9816,2.0600
32768,0.0300,2.3570,1.1935,4.7400,0.0900,0.9756,2.3051
36864,0.0200,2.4549,1.2375,4.4600,0.0500,0.9669,2.4598
40960,0.0100,2.4590,1.2345,4.6200,0.0700,0.9768,2.6118
45056,0.0100,2.5162,1.2631,4.7400,0.0900,0.9336,2.7280
49152,0.0300,2.6084,1.3192,4.8400,0.0700,0.9043,2.8702
53248,0.0100,2.6642,1.3371,5.0000,0.0700,0.9003,2.9928
