timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3161,-0.0948,1.1800,0.1000,1.0038,1.6008
8192,0.0000,0.3630,0.1089,1.8600,0.0700,1.0152,1.6000
12288,0.0100,0.8182,0.2524,2.4100,0.1000,1.0097,1.5939
16384,0.0200,1.7344,0.5343,3.6600,0.1100,1.0028,1.6668
20480,0.0100,1.7897,0.5439,3.5900,0.1900,0.9758,1.7809
24576,0.0200,1.8336,0.5641,3.8500,0.1300,0.9909,1.9392
28672,0.0100,2.2294,0.6758,4.1400,0.1200,0.9836,2.0473
32768,0.0100,2.3446,0.7104,4.7200,0.1100,0.9789,2.2873
36864,0.0400,2.4442,0.7613,4.6500,0.0500,0.9724,2.4410
40960,0.0200,2.4468,0.7480,4.7400,0.0500,0.9824,2.5811
45056,0.0100,2.5056,0.7587,4.6200,0.1000,0.9386,2.7117
49152,0.0100,2.5992,0.7868,4.9000,0.0600,0.9097,2.8441
53248,0.0000,2.6552,0.7966,4.9100,0.0300,0.9064,2.9696
