timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0100,-0.2478,-0.1704,1.2200,0.0300,1.0255,1.5852
8192,0.0000,0.1374,0.0962,1.5800,0.1400,1.0149,1.6048
12288,0.0100,0.8072,0.5681,2.4300,0.1500,0.9946,1.6096
16384,0.0000,1.4918,1.0442,3.3400,0.1700,0.9876,1.6842
20480,0.0000,1.6868,1.1808,3.7800,0.1700,0.9783,1.7855
24576,0.0000,2.1744,1.5221,4.2400,0.1200,1.0101,1.9421
28672,0.0100,2.3458,1.6450,4.5300,0.1100,0.9870,2.1279
32768,0.0000,2.3683,1.6578,4.5800,0.0800,0.9892,2.2963
36864,0.0100,2.4536,1.7205,4.7700,0.1300,0.9707,2.4507
40960,0.0300,2.5368,1.7847,4.7200,0.0700,0.9445,2.5985
45056,0.0200,2.5938,1.8217,4.6800,0.0600,0.9546,2.7192
49152,0.0000,2.5438,1.7807,4.9000,0.0700,0.9499,2.8855
53248,0.0000,2.5584,1.7909,4.7000,0.0600,0.9088,2.9861
