timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3854,0.0000,0.9500,0.0600,1.0014,1.6007
8192,0.0000,-0.0566,0.0000,1.5000,0.1100,0.9844,1.6121
12288,0.0000,-0.0519,0.0000,1.4100,0.0400,0.9724,1.6013
16384,0.0300,0.6284,0.0300,2.2700,0.0300,0.9819,1.5981
20480,0.0100,0.7984,0.0100,2.5900,0.1200,1.0102,1.5982
24576,0.0000,1.3101,0.0000,3.2700,0.1500,1.0273,1.6043
28672,0.0100,1.0496,0.0100,2.7100,0.1000,1.0125,1.6036
32768,0.0300,1.4018,0.0300,3.2900,0.1000,0.9819,1.5933
36864,0.0200,1.4724,0.0200,3.5000,0.1300,1.0050,1.5895
40960,0.0300,1.4234,0.0300,3.7400,0.1000,1.0097,1.5961
45056,0.0100,1.7476,0.0100,3.8100,0.1000,1.0025,1.6197
49152,0.0100,1.6949,0.0100,3.9800,0.1100,1.0015,1.5752
53248,0.0100,1.6604,0.0100,3.7900,0.1500,0.9793,1.5949
