timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0100,-0.2478,-0.2478,1.2200,0.0300,1.0255,1.5852
8192,0.0000,0.1359,0.1359,1.5500,0.1400,1.0146,1.6055
12288,0.0100,0.7954,0.7954,2.4000,0.1400,0.9934,1.6107
16384,0.0000,1.4901,1.4901,3.2600,0.1800,0.9860,1.6912
20480,0.0000,1.6874,1.6874,3.7700,0.1600,0.9783,1.7969
24576,0.0100,2.1629,2.1629,4.1800,0.1500,1.0101,1.9410
28672,0.0100,2.3359,2.3359,4.5200,0.1100,0.9876,2.1166
32768,0.0100,2.3509,2.3509,4.4000,0.1200,0.9889,2.2633
36864,0.0100,2.4364,2.4364,4.6000,0.1000,0.9694,2.4083
40960,0.0200,2.5215,2.5215,4.5900,0.0800,0.9424,2.5511
45056,0.0100,2.5823,2.5823,4.8100,0.0700,0.9513,2.6657
49152,0.0000,2.5315,2.5315,4.7900,0.1000,0.9451,2.8167
53248,0.0100,2.5461,2.5461,4.6400,0.0500,0.9037,2.9103
