timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3161,-0.2845,1.1800,0.1000,1.0038,1.6008
8192,0.0000,0.3628,0.3265,1.9100,0.0600,1.0155,1.6009
12288,0.0000,0.8194,0.7374,2.4300,0.1000,1.0100,1.5949
16384,0.0100,1.7290,1.5571,3.6500,0.1100,1.0034,1.6661
20480,0.0000,1.7913,1.6122,3.7200,0.2100,0.9763,1.7797
24576,0.0000,1.8382,1.6544,3.8500,0.1500,0.9906,1.9377
28672,0.0200,2.2347,2.0132,4.1600,0.1100,0.9812,2.0533
32768,0.0200,2.3508,2.1177,4.7100,0.1000,0.9759,2.2966
36864,0.0100,2.4474,2.2037,4.4900,0.0500,0.9671,2.4505
40960,0.0100,2.4499,2.2059,4.6100,0.0800,0.9758,2.5947
45056,0.0200,2.5100,2.2610,4.8300,0.1000,0.9325,2.7202
49152,0.0200,2.6034,2.3450,4.7300,0.1000,0.9035,2.8519
53248,0.0200,2.6623,2.3980,4.9100,0.0400,0.8990,2.9766
