timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3161,-0.2213,1.1800,0.1000,1.0038,1.6008
8192,0.0000,0.3632,0.2543,1.8800,0.0600,1.0154,1.6007
12288,0.0100,0.8203,0.5772,2.4400,0.1000,1.0098,1.5947
16384,0.0100,1.7320,1.2154,3.6200,0.1100,1.0024,1.6667
20480,0.0000,1.7898,1.2529,3.5700,0.1900,0.9749,1.7845
24576,0.0000,1.8385,1.2869,3.9600,0.1300,0.9898,1.9446
28672,0.0200,2.2354,1.5708,4.1200,0.1100,0.9809,2.0595
32768,0.0000,2.3523,1.6466,4.7600,0.0900,0.9754,2.3024
36864,0.0200,2.4546,1.7242,4.6000,0.0500,0.9673,2.4618
40960,0.0100,2.4577,1.7234,4.5500,0.0800,0.9769,2.6108
45056,0.0200,2.5175,1.7682,4.8400,0.1000,0.9338,2.7332
49152,0.0200,2.6090,1.8323,4.7500,0.0900,0.9049,2.8720
53248,0.0100,2.6661,1.8693,4.9200,0.0200,0.9006,2.9989
